Text|Rating|Votes|J/N
Chuck Norris once won a demolition derby without a car.|3.95|21|j
Chuck Norris can travel a negative distance.|3.95|21|j
Life is too scared to give Chuck Norris lemons.|3.95|20|j
Chuck Norris can inhale and exhale simultaneously.|3.95|20|j
God listed Chuck Norris as his emergency contact person.|3.95|20|j
Chuck Norris drinks Dracula's blood.|3.95|20|n
North Korea's borders are closed to prevent Chuck Norris from entering.|3.95|20|j
Even gravity can't defy Chuck Norris.|3.95|19|j
Chuck Norris can play Beethoven's Symphony #9 on the bongos.|3.95|19|j
Chuck Norris once smoked a cigarette, but he didn't get addicted to smoking. The cigarette got addicted to Chuck Norris.|3.95|55|j
They wanted to put Chuck Norris' head on Mt. Rushmore, but the granite wasn't strong enough to hold up his beard.|3.95|44|n
"Chuck Norris puts the ""fun"" in ""funeral""."|3.95|44|j
Chuck Norris can sing high notes in sign language.|3.95|43|n
If you ask Chuck Norris for his autograph, he'll dip his boot in a bucket of ink and roundhouse kick you in your face.|3.95|43|n
When Chuck Norris shakes a bottle of Italian salad dressing, it never needs to be shaken again.|3.95|42|n
Santa Claus sits on Chuck Norris' lap.|3.95|42|j
Chuck Norris and super man got in a fight on a bet, the loser had wear there underwear outside there pants.|3.95|41|n
If Chuck Norris was Mexican, he wouldn't need to jump the border, it would move out of his way.|3.94|83|n
Chuck Norris can punch a hurricane in the eye.|3.94|70|j
When Chuck Norris eats tacos he craps out a mexican.|3.94|68|n
Chuck Norris plays Battleship with a real navy.|3.94|64|j
Chuck Norris can score a touchdown in basketball.|3.94|62|j
Chuck Norris can race NASCAR in a Prius.|3.94|35|n
Chuck Norris is responsible for China's over-population. He hosted a Karate tournament in Beijing and all women within 1,000 miles became pregnant instantly.|3.94|34|n
Usain Bolt broke the 100m record by accident because he was trying to run away from Chuck Norris.|3.94|34|j
Chuck Norris was born on February 30th.|3.94|34|j
Chuck Norris once sent $2000 to a Nigerian scammer, and actually received his $2.7 million inheritance.|3.94|33|j
The 6 branches of the military are the army , navy , air force , marines , coast guard , and Chuck Norris.|3.94|32|n
Chuck Norris can serve a life sentence in prison and live to talk about it.|3.94|32|j
Superman's only weakness is green kryptonite which is the scientific name given given to Chuck Norris' boogers.|3.94|32|n
Chuck Norris is only scared of 1 person... Mama Norris.|3.94|31|j
Rich people wipe their ass with money. Chuck Norris wipes his ass with rich people.|3.94|31|n
Chuck Norris uses a shotgun for a blow dryer.|3.94|31|j
Chuck Norris doesn't leave cookies and milk for santa. Santa leaves cookies and milk for Chuck Norris.|3.94|18|n
Chuck Norris can play the note 'H' on the piano.|3.94|18|j
Chuck Norris takes the high road and the low road, at the same time.|3.94|18|j
NASA uses Chuck Norris's roundhouse kick to propel the space shuttle into orbit. The fire and smoke are added for effect.|3.94|18|j
Chuck Norris can blow a bubble with a brick.|3.94|18|n
Chuck Norris' computer keyboard doesn't need a CTRL key because Chuck Norris is always in control.|3.94|18|n
Chuck Norris could never be brought to trial because he has no peers.|3.94|18|n
The Hulk and Chuck Norris once arm wrestled, the loser had to paint themselves green.|3.94|18|j
Chuck Norris won the Daytona 500 on a sailboat.|3.94|17|n
Chuck Norris can walk across the North/South Korean border.|3.94|17|j
Chuck Norris can blow bubbles in his chocolate milk with the spoon.|3.94|16|n
Hercules had 13 labors. His 13th one was fighting Chuck Norris. But because he was beaten up so badly, people only talk about the first 12.|3.94|16|n
When Chuck Norris was little he used to go around kicking his dads cows. His dad is now a multi millionaire for supposedly inventing ground beef.|3.94|16|j
Chuck Norris dosn't have to do anything for a klondike bar.|3.94|16|n
Chuck Norris simply walks into Mordor.|3.94|16|n
Chuck Norris can force numbers to lie.|3.94|53|n
When visiting Scotland, Chuck Norris was bitten by a leach. A month later, the Lock Ness monster was seen for the first time.|3.94|51|j
Newtons law is wrong, there is no reaction equal to a Chuck Norris roundhouse kick.|3.94|50|j
The ancient Mayans predicted that on December, 21 2012 Chuck Norris would get angry.|3.94|49|n
Chuck Norris wouldn't have to run for president. He could simply walk.|3.93|88|j
Chuck Norris once decided to test the Cats have 9 lives theory, in conclusion one roundhouse kick has enough power to take 10 lives, at once.|3.93|75|n
Ninjas can dodge rain drops, but Chuck Norris can dodge air.|3.93|74|n
Chuck Norris goes to spain once a year to the running of the bulls. Chuck Norris is the reason why the bulls are running.|3.93|40|n
If Chuck Norris went black, he'd come back.|3.93|30|n
Chuck Norris once lapped his opponent, in a drag race.|3.93|30|j
Chuck Norris can make pancakes on a waffle iron.|3.93|30|j
Chuck Norris does not use a parachute when he jumps out of an airplane. They only slow him down.|3.93|29|j
Chuck Norris can Eat Dinosaurs and Piss Crude Oil.|3.93|29|n
The last thing Chuck Norris wants to do is hurt you, and it's also the first.|3.93|29|j
"Chuck Norris won a Pulitzer for his ""Karate for Dummies"" booklet."|3.93|29|n
Chuck Norris can highlight with a pencil.|3.93|28|n
"Chuck Norris doesn't use pickup lines, he simply says, ""Now.""."|3.93|28|n
Along with his black belt, Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever.|3.93|28|n
The IRS pays Chuck Norris.|3.93|15|j
It doesn't matter which way the compass points, if Chuck Norris points in the other direction, that's the new north!!!|3.93|15|n
Last Halloween, Chuck Norris entered one of his testicles in the giant pumpkin contest and won.|3.93|14|n
While playing Chutes and Ladders, Chuck Norris treats the chutes as ladders, because he�s not some wimp who can�t climb up a plastic slide.|3.93|57|n
One can only speculate what happened to the doctor who spanked Chuck Norris on the day he was born.|3.93|57|n
There are few living things that can fly... Birds, Bats, and humans being Roundhouse Kicked by Chuck Norris.|3.93|55|j
In video games, the only cheat code that can beat God Mode, is Chuck Norris Mode.|3.93|55|n
Chuck Norris doesn't have to go through airport security. No terrorist would ever get on a plane with Chuck Norris.|3.93|44|j
Chuck Norris has struck lightening.|3.93|43|j
Chuck Norris' dryer doesnt steal one sock. It gives him one extra.|3.93|43|j
Chuck Norris shushes the librarian.|3.93|42|j
Chuck Norris was the first man to walk on a man on the moon.|3.93|41|j
The Internet uses Chuck Norris for information.|3.92|77|j
If you stare at the American Flag long enough a 3D image of Chuck Norris appears.|3.92|62|n
When life gives Chuck Norris lemons, he makes nuclear weapons.|3.92|38|n
Chuck Norris once went to observe a worlds strongest man contest and won.|3.92|38|n
The dinosaurs looked at Chuck Norris wrong. Once.|3.92|37|n
Chuck Norris doesn't avoid cracks in the sidewalk, he makes them.|3.92|36|n
Santa's elves have evolved to become short in an effort to duck Chuck Norris' Roundhouse Kick at Xmas visits. As yet, it hasn't worked.|3.92|36|n
Chuck Norris cannot be seen on surveillance video.|3.92|26|n
Some states disregarded the death penalty. Instead, those states put the criminal in a room with Chuck Norris and they see what happens.|3.92|25|n
Chuck Norris will never be struck by lightening because it knows Chuck Norris will strike back.|3.92|25|n
Chuck Norris invented dying.|3.92|24|n
Chuck Norris got Uno with a full hand in Poker.|3.92|24|n
Chuck Norris exceeds the speed of light.|3.92|24|n
Santa Claus writes a wish list to Chuck Norris.|3.92|24|n
Chuck Norris can kick your balls into squares.|3.92|24|n
Chuck Norris climbed mount everest in a speedo.|3.92|12|n
Chuck Norris once ate 4 skittles, later after he took a shit, they became the power rangers.|3.92|59|n
Chuck Norris doesn't get lost. The Earth just reorients itself to his location.|3.92|52|n
Apostrophes are just commas Chuck Norris uppercutted.|3.92|51|n
Chuck Norris is at the top of Santa's naughty list. He still gets presents.|3.92|51|n
"If you look at the Price tag on China you'll see it says; ""Made By Chuck Norris""."|3.92|49|n
Chuck Norris can blow a bubble with a jaw breaker.|3.92|49|n
Chuck Norris got his drivers license at the age of 17 seconds.|3.92|48|n
America went into the Great Depression when Chuck Norris misplaced his 5 dollars.|3.91|81|n
Chuck Norris sleeps with a pillow under his gun.|3.91|77|n
Chuck Norris can burn calories with a flamethrower.|3.91|70|j
Chuck Norris burns calories by throwing fat kids into fires.|3.91|35|n
Chuck Norris' universal remote really does control the universe.|3.91|34|n
Chuck Norris once farted in Hiroshima.|3.91|33|n
The reason Superman flies is because he knows Chuck Norris is on the ground.|3.91|33|n
Chuck Norris won a chess tournament with one red and one black checker.|3.91|33|n
Chuck Norris never lies because even when he does, it automatically becomes the truth!|3.91|32|n
Squirt Gun + Chuck Norris = Someone has to call Noah and tell him to bring his arc over.|3.91|23|n
When you play chess with Chuck Norris, he always puts you in Chuck-mate.|3.91|23|j
Helen Keller's favorite color is Chuck Norris.|3.91|23|n
Chuck Norris is like Johnny Cash. Aint no grave can hold his body down. Good thing Chuck Norris doesn't die.|3.91|23|n
There was once a street named after Chuck Norris, but it was quickly renamed because no one crosses Chuck Norris and lives.|3.91|23|n
Chuck Norris was playing hockey and had a penalty called on him. The referee had to sit in the penalty box for 2 minutes.|3.91|23|n
Chuck Norris hit the same golf ball twice with one swing.|3.91|22|j
For Chuck Norris every street is one way, his way.|3.91|22|j
Chuck Norris can win tic-tac-toe in one turn.|3.91|11|j
Chuck Norris can shank you with a spoon.|3.91|11|n
Charlie Sheen is winning. Chuck Norris is dominating.|3.91|11|n
Freddie Krueger is afraid that Chuck Norris might one day get tired and take a nap.|3.91|11|j
The second world war ended when Chuck Norris got bored.|3.91|57|j
When Chuck Norris rides roller coaster, the roller coaster screams.|3.91|47|n
Chuck Norris only donates other people's blood.|3.91|46|j
Chuck Norris chews jawbreakers.|3.91|44|n
Once you go Norris, you are physically unable to go back.|3.91|43|n
Cuck Norris killed the dead sea.|3.91|43|j
Chuck Norris does not obey the speed limit, because you cannot put a limit on Chuck Norris.|3.9|97|n
Chuck Norris beat Mona Lisa in a staring contest.|3.9|71|j
Chuck Norris won the world's longest handstand competition with his hands tied behind his back.|3.9|40|j
When Chuck Norris was born, the only person who cried was the doctor. Never spank Chuck Norris!|3.9|40|n
The reason prohibition was repealed is because Chuck Norris wanted a drink.|3.9|40|j
Chuck Norris doesn't age, he levels up.|3.9|39|n
Japan was never bombed with the atomic bomb. Chuck Norris just had tacos.|3.9|31|n
Chuck Norris can speak 57 languages in english.|3.9|31|n
"When Chuck Norris was eating alphabet soup all the ""Y""s jumped out...cuz they know Chuck Norris don't like questions."|3.9|30|n
The leaning tower of Pisa leans because Chuck Norris once leaned on it to tie his shoe.|3.9|30|n
If you've ever wanted to see an unstoppable force meet an immovable object, just watch Chuck Norris punch himself.|3.9|30|j
When Apollo was landing on the moon in 1968, Chuck Norris showed them where to park.|3.9|30|j
Chuck Norris doesn't walk forward. The earth rotates backwards.|3.9|29|j
Chuck Norris will never run for President of the United States. It would be a demotion.|3.9|21|j
You bought a slice of pizza. If Chuck Norris says it's a hamburger, then it's a hamburger.|3.9|21|n
Chuck Norris can beat the shit out of shit.|3.9|21|n
Chuck Norris is the reason Spongebob lives underwater in the sea.|3.9|21|n
"Dogs put ""Beware of Chuck Norris"" signs on their houses."|3.9|21|n
A movie critic gave a Chuck Norris movie 2 stars. The other 3 are still spinning around his head.|3.9|20|n
They were going to carve Chuck Norris's face on Mount Rushmore, but the rock was not hard enough for his beard.|3.9|20|n
Chuck Norris won on last weeks Iron Chef America T.V. show by microwaving two ham & cheese Hotpockets.|3.9|20|n
Kids play jumprope. Chuck Norris plays jumpcobra.|3.9|20|j
Chuck Norris is the issuing officer for the license to kill.|3.9|10|n
Chuck Norris can make a banana split after he eats it.|3.9|10|n
Chuck Norris would kill everyone for a klondike bar.|3.9|63|n
Chuck Norris can kill ants with a magnifying glass. . . at night.|3.9|61|j
Chuck Norris can jumpstart a car with his nipples.|3.9|58|n
Chuck Norris once farted while camping. The incident is commonly referred to as Mount St. Helens.|3.9|52|n
Chuck Norris can judge a book by its cover.|3.9|49|j
Chuck Norris can tear a page out of Facebook.|3.9|49|n
Chuck Norris gives his GPS directions.|3.9|41|n
Chuck Norris can hold is breath in water longer then a fish can.|3.89|89|j
Chuck Norris once fell into a toxic waste plant, and the toxic waste got super powers.|3.89|84|n
Light wonders how Chuck Norris moves so fast.|3.89|37|n
Chuck Norris owns Area 51. He also owns Areas 1 thru 50.|3.89|37|j
Chuck Norris made Atlantis sink.|3.89|36|j
Chuck Norris broke the sound barrier during a nature hike.|3.89|36|n
"If you cut open the Earth, you would find ""Made By Chuck Norris"" inscribed on the core."|3.89|36|j
When Chuck Norris wants an egg, he cracks open a chicken.|3.89|35|j
The Titans remember Chuck Norris.|3.89|28|n
Chuck Norris made his first paper airplane when he was 4 years old..... it landed yesterday.|3.89|28|j
"When fishing, Chuck Norris practices ""catch and release"". Barehanded. With killer whales."|3.89|28|n
Chuck Norris doesn't gamble. He wins.|3.89|27|n
If Chuck Norris added you on Facebook, you dont have a choice if you want to accept or not.|3.89|19|j
During the madness of the Cold War, Russia claimed they had enough nuclear weapons to destroy the world 100 fold ........ we just said we had Chuck Norris........ America cannot be outdone!|3.89|19|n
The Amish fertilize their vegetable gardens with Chuck Norris manure.|3.89|19|n
"""See a penny, pick it up, all day long you'll have good luck""...unless it was Chuck Norris' penny."|3.89|19|n
Chuck Norris punched a beaver once. It's now called the platypus.|3.89|19|n
When Chuck Norris goes to dinner the waiters tip him.|3.89|18|n
Chuck Norris can work out the square root of negatives.|3.89|18|n
Chuck Norris googled Bing on a Yahoo search engine.|3.89|18|j
Chuck Norris can Barbeque-under water.|3.89|64|j
The movie the hulk was based on Chuck Norris childhood.|3.89|57|n
"When you type in Chuck Norris in Google and click ""I'm feeling lucky"", Chuck Norris kills you anyway since nobody gets lucky when Chuck Norris is involved."|3.89|46|n
Chuck Norris doesnt win, he just allows you to lose.|3.89|46|j
Chuck Norris can brew espresso by squeezing the bean...|3.89|45|j
The Sun Doesn't set, it Runs when it sees Chuck Norris.|3.89|44|j
Chuck Norris can sleep with 3 eyes open.|3.89|44|j
Chuck Norris abducts Aliens.|3.88|84|n
Global warming doesn't exist. Chuck Norris was cold, so he turned up the sun.|3.88|33|n
When Chuck Norris looks at you, you look at your grave.|3.88|33|n
Chuck Norris beat Call of Duty Black Ops with the tv off.|3.88|33|n
I carry a gun because Chuck Norris is too heavy.|3.88|32|n
Klondike would do anything for Chuck Norris.|3.88|32|n
Chuck Norris's words don't hurt.... they kill.|3.88|26|j
Chuck Norris bowled a 300 using his own balls.|3.88|26|n
"Chuck Norris originally appeared in the ""Street Fighter II"" video game, but was removed by Beta Testers because every button caused him to do a roundhouse kick. When asked bout this ""glitch,"" Norris replied, ""That's no glitch.""."|3.88|26|n
Sasquatch once found a Chuck Norris footprint.|3.88|26|n
Chuck Norris's biggest regret is that the odds always surrrender before he has a chance to beat them.|3.88|25|n
Chuck Norris can unring a bell.|3.88|25|j
Chuck Norris needs a conceled weapons license just to legaly wear pants.|3.88|25|n
17% of women have never experienced an orgasm. Coincidently, that is the same percent of women who've never met Chuck Norris.|3.88|25|n
Chuck Norris solves Rubik's Cubes in one move.|3.88|25|n
"Chuck Norris's mother has a ""SON"" tattoo."|3.88|25|n
The last person who made eye contact with Chuck Norris was Stevie Wonder.|3.88|24|n
Chuck Norris once had a kidney stone... he named it Jupiter.|3.88|24|n
Chuck Norris once went to a beauty salon to have his crotch waxed. There were no survivors.|3.88|24|n
Chuck Norris doesn't have a dog, he has a Honey Badger.|3.88|24|n
Chuck Norris never buys an extended warranty, he dares his purchase to fail.|3.88|24|j
Chuck Norris went out for a casual bike ride when he was visiting Paris and accidentally won the Tour de France.|3.88|24|n
Chuck Norris' blood type is unknown. He has never bled.|3.88|24|j
Chuck Norris does not own his own brush, he shares a brush, with death.|3.88|17|n
Chuck Norris doesn't just break wind...He ANNIHILATES it.|3.88|17|n
Chuck Norris has won every beard contest in the world with out even going.|3.88|16|n
Chuck Norris can fly a real plane using Flight Simulator.|3.88|16|n
When Chuck Norris rides on a train, he can tell the driver where to go and let him off.|3.88|16|j
Chuck Norris doesn't break wind, he creates it.|3.88|16|n
Chuck Norris won the 2011 Las Vegas Blackjack tournament by taking 22 hits on the final hand.|3.88|16|n
Humpty Dumpty sat on a wall. Humpty Dumpty had a great fall. All the king's horses and all the king's men couldn't put Humpty back together again. So they asked Chuck Norris.|3.88|16|n
Chuck Norris flosses his teeth with an air-hammer.|3.88|8|n
Chuck Norris was on the Titanic & noticed 2 kids spitting over the side, he then decided to spit over the side, causing the Titanic to propel into the iceberg. The spit also caused the rogue wave that flipped over the Poseidon.|3.88|58|n
Chuck Norris was challenged in a peeing contest, the other guy drowned.|3.88|58|n
Donald Trump can't fire Chuck Norris.|3.88|50|j
A rainbow's favorite color is Chuck Norris.|3.88|49|n
Two calculators are needed to add up Chuck Norris' IQ.|3.88|43|n
Chuck Norris once rode a Brahma Bull in a rodeo.....nine months later it had a calf.|3.88|43|n
Chuck Norris receives an annual sum of 10 million dollars from Viagra as royalties for the chemical compounds found in his blood.|3.88|42|n
Staring at Chuck Norris is bad for the sun.|3.88|41|j
Chuck Norris doesn't have 'body hair,' his skin sheds in the form of steel-wool.|3.87|39|j
Chuck Norris has a turbo diesel. On his bicycle.|3.87|31|n
Chuck Norris once lost a fight. Then he woke up.|3.87|31|j
Chuck Norris can smell in color.|3.87|30|n
Some people use Visine to moisten their eyes. Chuck Norris uses pepper spray.|3.87|30|n
Chuck Norris can beat scissors with paper.|3.87|30|j
Chuck Norris once hosted Saturday night live, but no one had the guts to laugh at him.|3.87|23|n
There is no such thing as global warming, Chuck Norris got cold and turned up the earths thermostat.|3.87|15|n
When Roald Amundsen reached the South Pole, he was greeted by the sight of Chuck Norris sipping a cup of hot chocolate while basking naked in the Antarctic sun.|3.87|15|n
Chuck Norris can prepare a 5 star gourmet dinner out of onion, toejam and Wheaties.|3.87|15|n
Chuck Norris can do the cinnimon challenge when he has a sore throat.|3.87|15|n
The mayor has a directline to batman, but batman has a directline to Chuck Norris.|3.87|15|n
Chuck Norris once killed 37 terrorists with only 2 bullets....the first bullet was a warning shot.|3.87|62|n
They once invented a Chuck Norris brand of toilet paper. It was discontinued shortly after for not taking shit from anyone.|3.87|61|j
Chuck Norris is currently suing NBC, claiming Law and Order are trademarked names for his left and right legs.|3.87|55|j
Chuck Norris once partook in a pissing contest outside of a bar. His opponent drowned.|3.87|54|n
Kobeiashi can eat 56 hotdogs, but Chuck Norris can eat 65 japanese people.|3.87|52|n
Chuck Norris can make a straight line gay.|3.87|47|n
Chuck Norris is the reason Rambo has scars.|3.87|46|n
Chuck Norris once got in a fight with Jean Claude Van Damme. There were 3 hits. Chuck hitting Van Damme, Van Damme hitting the floor, and the ambulance hitting 90, trying to get Van Damme to the hospital in time.|3.87|46|n
Chuck Norris strapped a bomb onto himself and ran for an Al-Quidea camp. When it blew up, Chuck Norris was still running.|3.86|37|n
Chuck Norris wrote an autobiography about you.|3.86|37|n
Chuck Norris can create a rainbow using only one color.|3.86|36|n
Chuck Norris fell off of the Empire State building and stubbed his toe.|3.86|29|j
The Joker is permanently smiling because he once heard Chuck Norris tell a joke.|3.86|29|n
When Chuck Norris plays pokemon he does catch them all.|3.86|29|n
Chuck Norris is not above the law, he is the law.|3.86|28|j
When you split an atom, inside it says OWNED BY CHUCK NORRIS.|3.86|28|n
Chuck Norris is so American he can eat chinese food and crap an apple pie.|3.86|28|n
Chuck Norris can dribble a football across a baseball field and score a 3 pointer.|3.86|28|n
Chuck Norris can choose whether his poop stinks or not.|3.86|22|n
When Chuck Norris walks through the woods, Big Foot takes a picture of him.|3.86|22|n
Chuck Norris can rehydrate petrified wood by urinating on it.|3.86|22|n
China once bordered the U.S but Chuck Norris roundhoused kicked it across the Earth.|3.86|21|n
When a normal human drinks Red Bull, they get wings. When Chuck Norris drinks Red Bull, there are no survivors.|3.86|21|n
Chuck Norris eats inside Sonic.|3.86|21|n
When Chuck Norris listens to dubstep he sings along.|3.86|21|j
Chuck Norris can catch a bunt from center field.|3.86|21|n
Chuck Norris is the only person who can move all his luggage to the car in less than one trip.|3.86|14|n
The Devil went down to Georgia because Chuck Norris lives in Oklahoma.|3.86|14|n
Vince Vaughn became a movie star for being the guy that got Chuck Norris to appear in Dodgeball for five seconds.|3.86|14|n
"Few people are aware that the entire lead-in of the Iron Butterfly hit ""In-A-Gadda-Da-Vida"" was actually recorded solely by Chuck Norris playing a piccolo."|3.86|14|n
Chuck Norris planted money and grew a bank.|3.86|14|n
Weights come to Chuck Norris for strength training.|3.86|14|n
Chuck Norris can perform plastic surgery with his bare hands.|3.86|14|j
Chuck Norris sold his soul to the devil for his rugged good looks and unparalleled martial arts ability. Shortly after the transaction was finalized, Chuck roundhouse kicked the devil in the face and took his soul back. The devil, who appreciates irony, couldn't stay mad and admitted he should have seen it coming. They now play poker every second Wednesday of the month.|3.86|66|n
Chuck Norris can roundhouse kick you with his legs tied behind his back.|3.86|65|j
One Chuck Norris roundhouse kick can power Australia for 45 minutes.|3.86|43|n
"Chuck Norris was once asked in an interview what he thought about all the Chuck Norris jokes going around. He simply said ""They aren't jokes"" and went back to drinking his mug of nails."|3.85|89|j
Chuck Norris once got an erection while laying face down. He struck oil.|3.85|78|n
Chuck Norris can kick a field goal in Qualcomm Stadium from the 20 yard line of Giants Stadium.|3.85|40|n
"Someone once asked Chuck Norris how many licks does it take to get to the tootsie role center of a tootsie pop? Chuck then pulled out his gun and shot the tootsie pop and answered ""0""."|3.85|40|n
When Chuck Norris puts money in the parking meter, a gumball comes out.|3.85|39|n
Haley's Comet is all thats left of a snowball fight with Chuck Norris.|3.85|39|n
Chuck Norris doesn't fight wars. He settles them.|3.85|34|j
When Chuck Norris cuts himself shaving the razor bleeds.|3.85|33|n
Chuck Norris gave peas their black eyes.|3.85|33|n
All of Chuck Norris' chromosomes are male.|3.85|33|n
Chuck Norris knows everything there is to know - Except for the definition of mercy.|3.85|27|n
Chuck Norris can do a hand stand no handed.|3.85|27|n
Chuck Norris once killed someone with a cap gun.|3.85|27|n
You can't hurt Chuck Norris's feelings...... however, his feelings can sure as hell hurt you.|3.85|27|n
Chuck Norris can get pulled over by the police and give the police officer a ticket.|3.85|27|n
"Chuck Norris' business card simply says ""I'll call you""."|3.85|27|n
When Chuck Norris eats curry he shits out an indian.|3.85|27|n
Chuck Norris can steal home plate. From 2nd base.|3.85|26|n
Superman is able to leap tall buildings in a single bound. Chuck Norris can walk straight through tall buildings. And Superman.|3.85|26|n
When they asked Chuck Norris to star in the first James Bond movie � he refused and said; �I don�t need no license to kill�.|3.85|26|n
Steve Jobs is dead because Chuck Norris' IPad crashed.|3.85|26|n
Chuck Norris can see Ultra Violet light.|3.85|20|j
Chuck Norris is an incredible lawyer. He's won every case simply because you DON'T argue with Chuck Norris.|3.85|20|j
Chuck Norris can close a 24-hr store.|3.85|20|j
In the 1800s, Chuck Norris farted. The result, the London Smog.|3.85|20|n
Chuck Norris does not wear long sleeved shirts, he wears tank tops with sheaths.|3.85|13|n
Chuck Norris never attended recess in grade school, because Chuck Norris doesn't play.|3.85|13|n
The only sport Chuck Norris would score lower than you in is golf.|3.85|66|j
Chuck Norris does not go to Strip Clubs because women take off their clothes wherever he goes.|3.85|48|n
Iraq never held weapons of mass destruction, Chuck Norris just went on vacation.|3.85|46|n
Chuck Norris is so tough when he gets abducted by aliens he does the anal probing.|3.84|38|n
Chuck Norris can see John Cena.|3.84|37|n
Chuck Norris went as Chuck Norris as Halloween and got twice as much candy as anbody.|3.84|37|n
Chuck Norris can hear the sound of one hand clapping.|3.84|32|n
The square root of Chuck Norris is infinity.|3.84|32|n
Chuck Norris only skydived once, he thought the United States only needed one Grand Canyon.|3.84|32|n
Chuck Norris can get an eye exam blind folded.|3.84|32|n
Chuck Norris puts the FUN in Funeral.|3.84|31|n
If a bee stings Chuck Norris.... the bee swells up.|3.84|31|n
Chuck Norris once appeared on an episode of American Gladiators. It was the shortest episode in history.|3.84|25|n
Chuck Norris' beard is the only thing stopping his chin from kicking some ass.|3.84|25|n
Chuck Norris doesn't believe in evolution. Chuck Norris IS evolution.|3.84|25|n
Chuck Norris doesn't taste the rainbow he EATS it.|3.84|25|n
Chuck Norris can find nemo in the sahara desert.|3.84|25|n
Chuck Norris doesn't own a stove, oven, or microwave. this is because revenge is a dish best served cold.|3.84|25|n
It is better to have loved and lost than to have never loved at all...it is also better to have never loved at all than to have been round-house kicked in the face by Chuck Norris.|3.84|19|n
Chuck Norris plays bingo, with a paint ball gun.|3.84|19|n
France can't win wars by itself because it doesn't have Chuck Norris.|3.84|19|n
When Chuck Norris decides to use a gun instead of his fists, it's to give his opponents a sporting chance.|3.84|19|j
Chuck Norris has already written history books for the year 3000.|3.84|19|n
Chuck Norris sprinkles sharks teeth on his fish tacos.|3.84|19|n
Chuck Norris did in fact, build Rome in a day.|3.84|19|j
Chuck Norris can milk a bull.|3.84|19|n
When a state trooper pulls over Chuck Norris, he shows Chuck Norris his license and registration.|3.84|19|n
People don't tell Chuck Norris jokes, they simply tell his life story.|3.84|68|j
Anyone can piss on the floor, but Chuck Norris can shit on the ceiling.|3.84|45|n
Chuck Norris can piss into gale force winds.|3.84|44|n
Chuck Norris can set fire to magnifying glasses using ants.|3.84|43|n
Chuck Norris can hack a computer with a toothpick, pocket lint, and a tomato.|3.84|43|n
The opening scene to Saving Private Ryan is loosely based on a dodge ball game Chuck Norris had in kindergarten.|3.83|40|n
The police use Chuck Norris as their emergency contact number.|3.83|35|n
Chuck Norris doesnt ride into the sunset... The sunset automaticlly follows Chuck Norris.|3.83|30|n
Chuck Norris could never be a corrections officer because Chuck Norris takes no prisoners.|3.83|30|n
Chuck Norris invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.|3.83|30|n
"Chuck Norris eats beef jerky and craps gunpowder. Then, he uses that gunpowder to make a bullet, which he uses to kill a cow and make more beef jerky. Some people refer to this as the ""Circle of Life.""."|3.83|30|n
Simon sometimes plays Chuck Norris says.|3.83|30|n
The only time Chuck Norris cried, Noah and his family were the only survivors.|3.83|30|n
Chuck Norris keeps bullets in his guns in case he gets hungry.|3.83|30|n
Chuck Norris can eat himself and live to tell the tale.|3.83|29|n
Wilt Chamberlain has claimed to slept with thousands of women. That's a slow Tuesday for Chuck Norris.|3.83|29|
Chuck Norris has more force than yoda.|3.83|24|
Chuck Norris's round house kicks don't kill you, they completely wipe your existence from the space time continuum.|3.83|24|
The square root of Chuck Norris is a roundhouse kick.|3.83|24|
Little kids look up to superheroes for protection. Super heroes look up to Chuck Norris.|3.83|24|
Old MacDonald had a farm, EIEIO. Chuck Norris punched him in the face, EIEIO. That's what made Old MacDonald get dyslexia, OIEIE.|3.83|24|
Chuck Norris can see a blind date.|3.83|24|
Chuck Norris finished the neverending story.|3.83|24|
When we first landed on the moon, the astronauts noted there was print on the moon that said “Chuck Norris was here”.|3.83|24|
If three hundred men decide to gang up on Chuck Norris, they would have to wait for three hundred more because at the moment, they are outnumbered.|3.83|23|
Kobe Bryant can swish a three pointer. Chuck Norris can swish a four pointer.|3.83|23|
The Roundhouse kick is Chuck Norris� second most deadly move; no one dared to ask about the first.|3.83|23|
Sharks have special protective suits they wear when Chuck Norris goes SCUBA diving.|3.83|23|
Chuck Norris's foot is a weapon of mass destruction. It destroys mass.|3.83|23|
"The ARMY is using Chuck Norris in its latest round of ""Be all that you can be"" commercials because even they know everyone wants to be Chuck Norris!"|3.83|18|
Godzilla was actually Chuck Norris's lost pet.|3.83|18|
Chuck Norris can make ballons out of animals.|3.83|18|
Silly Bandz are made from the intestines of all the men Chuck Norris has slaughtered in pure rage.|3.83|12|
Chuck Norris has never gotten his picture taken, because everybody knows you can't frame Chuck Norris.|3.83|12|
When Chuck Norris gets his toenails clipped they all come off at once, because everybody knows you can't go toe to toe with Chuck Norris.|3.83|12|
Chuck Norris scored a hat trick once in a hockey game....he was at home.|3.83|6|
Chuck Norris doesn't make wrong phone calls, people answer the wrong phone.|3.83|48|
Chuck Norris can dribble a football.|3.83|47|
Chuck Norris round housed kicked his cat into a dog.|3.83|42|
"After his wedding, Chuck Norris sent ""You're Welcome"" cards to his guests."|3.83|42|
